speed,MAX HOVER COUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1840,1749,1661,1575,1491,1410,1331,1254,1179,1107,1037,969,904,840,780,721,665,611,559,509,462,417,375,334,296,261,227,196,167,141,116,94,75,57,42,29,18,10,4,1
25.5,1955,1859,1765,1674,1585,1498,1414,1332,1253,1176,1102,1030,960,893,828,766,706,649,594,541,491,443,398,355,315,277,241,208,178,149,124,100,79,61,45,31,20,11,4,1
27,2070,1968,1869,1772,1678,1586,1497,1411,1327,1245,1166,1090,1017,946,877,811,748,687,629,573,520,470,422,376,334,293,256,221,188,158,131,106,84,64,47,33,21,11,5,1
28.5,2185,2077,1973,1870,1771,1674,1580,1489,1400,1314,1231,1151,1073,998,926,856,789,725,664,605,549,496,445,397,352,310,270,233,199,167,138,112,89,68,50,35,22,12,5,1
30,2300,2187,2076,1969,1864,1762,1663,1567,1474,1384,1296,1211,1130,1051,974,901,831,763,699,637,578,522,468,418,371,326,284,245,209,176,145,118,93,71,52,36,23,13,5,1
31.5,2415,2296,2180,2067,1957,1850,1747,1646,1548,1453,1361,1272,1186,1103,1023,946,872,801,734,669,607,548,492,439,389,342,298,257,219,185,153,124,98,75,55,38,24,13,6,1
33,2530,2406,2284,2166,2051,1939,1830,1724,1621,1522,1426,1333,1243,1156,1072,991,914,840,768,700,636,574,515,460,408,358,312,270,230,193,160,130,103,79,58,40,25,14,6,1
34.5,2645,2515,2388,2264,2144,2027,1913,1802,1695,1591,1490,1393,1299,1208,1121,1036,955,878,803,732,665,600,539,481,426,375,327,282,240,202,167,136,107,82,60,42,27,15,6,1
36,2760,2624,2492,2363,2237,2115,1996,1881,1769,1660,1555,1454,1355,1261,1169,1081,997,916,838,764,693,626,562,502,445,391,341,294,251,211,174,141,112,86,63,44,28,15,6,1
37.5,2875,2734,2596,2461,2330,2203,2079,1959,1843,1730,1620,1514,1412,1313,1218,1127,1039,954,873,796,722,652,586,523,463,407,355,306,261,220,182,147,117,89,66,45,29,16,7,1
39,2990,2843,2699,2560,2423,2291,2162,2037,1916,1799,1685,1575,1468,1366,1267,1172,1080,992,908,828,751,678,609,544,482,424,369,319,272,229,189,153,121,93,68,47,30,17,7,1
40.5,3105,2952,2803,2658,2517,2379,2246,2116,1990,1868,1750,1635,1525,1418,1316,1217,1122,1030,943,860,780,704,632,564,500,440,384,331,282,237,196,159,126,96,71,49,31,17,7,1
42,3220,3062,2907,2756,2610,2467,2329,2194,2064,1937,1814,1696,1581,1471,1364,1262,1163,1069,978,892,809,730,656,585,519,456,398,343,293,246,204,165,130,100,73,51,32,18,7,1
43.5,3335,3171,3011,2855,2703,2555,2412,2273,2137,2006,1879,1757,1638,1523,1413,1307,1205,1107,1013,923,838,757,679,606,537,473,412,355,303,255,211,171,135,104,76,53,34,18,8,1
45,3450,3280,3115,2953,2796,2644,2495,2351,2211,2075,1944,1817,1694,1576,1462,1352,1246,1145,1048,955,867,783,703,627,556,489,426,368,314,264,218,177,140,107,79,55,35,19,8,1
46.5,3565,3390,3218,3052,2889,2732,2578,2429,2285,2145,2009,1878,1751,1628,1510,1397,1288,1183,1083,987,896,809,726,648,574,505,440,380,324,272,225,183,144,111,81,56,36,20,8,1
48,3680,3499,3322,3150,2983,2820,2661,2508,2358,2214,2074,1938,1807,1681,1559,1442,1329,1221,1118,1019,925,835,750,669,593,521,455,392,334,281,233,189,149,114,84,58,37,20,8,1
49.5,3795,3608,3426,3249,3076,2908,2745,2586,2432,2283,2139,1999,1864,1733,1608,1487,1371,1259,1153,1051,953,861,773,690,611,538,469,404,345,290,240,194,154,118,87,60,38,21,9,1
51,3910,3718,3530,3347,3169,2996,2828,2664,2506,2352,2203,2059,1920,1786,1657,1532,1412,1298,1188,1083,982,887,796,711,630,554,483,417,355,299,247,200,158,121,89,62,39,22,9,1
52.5,4025,3827,3634,3446,3262,3084,2911,2743,2580,2421,2268,2120,1977,1839,1705,1577,1454,1336,1223,1114,1011,913,820,732,648,570,497,429,366,308,254,206,163,125,92,64,40,22,9,1
54,4140,3936,3738,3544,3356,3172,2994,2821,2653,2490,2333,2180,2033,1891,1754,1622,1495,1374,1258,1146,1040,939,843,753,667,587,511,441,376,316,262,212,168,129,94,65,42,23,9,1
55.5,4255,4046,3841,3642,3449,3260,3077,2899,2727,2560,2398,2241,2090,1944,1803,1667,1537,1412,1292,1178,1069,965,867,773,686,603,526,453,387,325,269,218,172,132,97,67,43,24,10,1
57,4370,4155,3945,3741,3542,3348,3160,2978,2801,2629,2463,2302,2146,1996,1852,1712,1579,1450,1327,1210,1098,991,890,794,704,619,540,466,397,334,276,224,177,136,100,69,44,24,10,1
58.5,4485,4264,4049,3839,3635,3437,3244,3056,2874,2698,2527,2362,2203,2049,1900,1757,1620,1488,1362,1242,1127,1017,914,815,723,635,554,478,408,343,284,230,182,139,102,71,45,25,10,1
60,4600,4374,4153,3938,3728,3525,3327,3135,2948,2767,2592,2423,2259,2101,1949,1802,1662,1527,1397,1274,1156,1043,937,836,741,652,568,490,418,352,291,236,186,143,105,73,46,26,11,2
61.5,4715,4483,4257,4036,3822,3613,3410,3213,3022,2836,2657,2483,2316,2154,1998,1848,1703,1565,1432,1305,1185,1070,960,857,760,668,582,502,428,360,298,242,191,146,108,75,47,26,11,2
63,4830,4592,4360,4135,3915,3701,3493,3291,3095,2906,2722,2544,2372,2206,2046,1893,1745,1603,1467,1337,1213,1096,984,878,778,684,597,515,439,369,305,248,196,150,110,76,49,27,11,2
64.5,4945,4702,4464,4233,4008,3789,3576,3370,3169,2975,2787,2604,2429,2259,2095,1938,1786,1641,1502,1369,1242,1122,1007,899,797,701,611,527,449,378,313,253,200,154,113,78,50,27,11,2
66,5060,4811,4568,4332,4101,3877,3659,3448,3243,3044,2851,2665,2485,2311,2144,1983,1828,1679,1537,1401,1271,1148,1031,920,815,717,625,539,460,387,320,259,205,157,115,80,51,28,12,2
67.5,5175,4920,4672,4430,4194,3965,3743,3526,3317,3113,2916,2726,2542,2364,2193,2028,1869,1717,1572,1433,1300,1174,1054,941,834,733,639,552,470,396,327,265,210,161,118,82,52,29,12,2
69,5290,5030,4776,4528,4288,4053,3826,3605,3390,3182,2981,2786,2598,2416,2241,2073,1911,1756,1607,1465,1329,1200,1078,962,852,750,653,564,481,404,334,271,214,164,121,84,53,29,12,2
70.5,5405,5139,4880,4627,4381,4142,3909,3683,3464,3251,3046,2847,2654,2469,2290,2118,1952,1794,1642,1496,1358,1226,1101,983,871,766,668,576,491,413,342,277,219,168,123,85,54,30,12,2
72,5520,5248,4983,4725,4474,4230,3992,3761,3538,3321,3111,2907,2711,2521,2339,2163,1994,1832,1677,1528,1387,1252,1124,1003,889,782,682,588,502,422,349,283,224,171,126,87,55,31,13,2
73.5,5635,5358,5087,4824,4567,4318,4075,3840,3611,3390,3175,2968,2767,2574,2387,2208,2036,1870,1712,1560,1416,1278,1148,1024,908,798,696,601,512,431,356,289,228,175,128,89,57,31,13,2
75,5750,5467,5191,4922,4660,4406,4158,3918,3685,3459,3240,3028,2824,2626,2436,2253,2077,1908,1747,1592,1445,1304,1171,1045,926,815,710,613,523,439,363,295,233,178,131,91,58,32,13,2
76.5,5865,5576,5295,5021,4754,4494,4242,3997,3759,3528,3305,3089,2880,2679,2485,2298,2119,1946,1781,1624,1473,1330,1195,1066,945,831,724,625,533,448,371,301,238,182,134,93,59,33,13,2
78,5980,5686,5399,5119,4847,4582,4325,4075,3832,3597,3370,3150,2937,2732,2534,2343,2160,1985,1816,1656,1502,1357,1218,1087,963,847,739,637,543,457,378,306,242,186,136,95,60,33,14,2
79.5,6095,5795,5503,5218,4940,4670,4408,4153,3906,3667,3435,3210,2993,2784,2582,2388,2202,2023,1851,1688,1531,1383,1241,1108,982,864,753,650,554,466,385,312,247,189,139,96,61,34,14,2
81,6210,5904,5606,5316,5033,4758,4491,4232,3980,3736,3499,3271,3050,2837,2631,2433,2243,2061,1886,1719,1560,1409,1265,1129,1001,880,767,662,564,475,393,318,252,193,142,98,62,34,14,2
82.5,6325,6014,5710,5414,5127,4846,4574,4310,4054,3805,3564,3331,3106,2889,2680,2478,2285,2099,1921,1751,1589,1435,1288,1150,1019,896,781,674,575,483,400,324,256,196,144,100,64,35,14,2
84,6440,6123,5814,5513,5220,4935,4657,4388,4127,3874,3629,3392,3163,2942,2729,2523,2326,2137,1956,1783,1618,1461,1312,1171,1038,912,795,686,585,492,407,330,261,200,147,102,65,36,15,2
85.5,6555,6232,5918,5611,5313,5023,4741,4467,4201,3943,3694,3452,3219,2994,2777,2568,2368,2175,1991,1815,1647,1487,1335,1192,1056,929,810,699,596,501,414,336,266,203,149,104,66,36,15,2
87,6670,6342,6022,5710,5406,5111,4824,4545,4275,4012,3759,3513,3276,3047,2826,2614,2409,2214,2026,1847,1676,1513,1359,1212,1075,945,824,711,606,510,422,342,270,207,152,105,67,37,15,2
88.5,6785,6451,6125,5808,5499,5199,4907,4623,4348,4082,3823,3574,3332,3099,2875,2659,2451,2252,2061,1879,1705,1539,1382,1233,1093,961,838,723,617,519,429,348,275,211,155,107,68,38,15,2
90,6900,6560,6229,5907,5593,5287,4990,4702,4422,4151,3888,3634,3389,3152,2923,2704,2492,2290,2096,1910,1734,1565,1405,1254,1112,978,852,735,627,527,436,354,280,214,157,109,69,38,16,2
91.5,7015,6670,6333,6005,5686,5375,5073,4780,4496,4220,3953,3695,3445,3204,2972,2749,2534,2328,2131,1942,1762,1591,1429,1275,1130,994,866,748,638,536,443,360,284,218,160,111,71,39,16,2
93,7130,6779,6437,6104,5779,5463,5156,4859,4569,4289,4018,3755,3502,3257,3021,2794,2576,2366,2166,1974,1791,1617,1452,1296,1149,1010,881,760,648,545,451,365,289,221,163,113,72,40,16,2
94.5,7245,6889,6541,6202,5872,5551,5240,4937,4643,4358,4083,3816,3558,3309,3070,2839,2617,2404,2201,2006,1820,1643,1476,1317,1167,1027,895,772,658,554,458,371,294,225,165,115,73,40,17,2
96,7360,6998,6645,6300,5965,5640,5323,5015,4717,4428,4147,3876,3615,3362,3118,2884,2659,2443,2236,2038,1849,1670,1499,1338,1186,1043,909,784,669,562,465,377,298,228,168,116,74,41,17,2
97.5,7475,7107,6748,6399,6059,5728,5406,5094,4791,4497,4212,3937,3671,3414,3167,2929,2700,2481,2271,2070,1878,1696,1523,1359,1204,1059,923,797,679,571,473,383,303,232,170,118,75,41,17,2
99,7590,7217,6852,6497,6152,5816,5489,5172,4864,4566,4277,3998,3728,3467,3216,2974,2742,2519,2305,2101,1907,1722,1546,1380,1223,1075,937,809,690,580,480,389,308,236,173,120,76,42,17,2
100.5,7705,7326,6956,6596,6245,5904,5572,5250,4938,4635,4342,4058,3784,3519,3265,3019,2783,2557,2340,2133,1936,1748,1569,1401,1241,1092,952,821,700,589,487,395,312,239,176,122,77,43,18,3
102,7820,7435,7060,6694,6338,5992,5655,5329,5012,4704,4407,4119,3840,3572,3313,3064,2825,2595,2375,2165,1965,1774,1593,1422,1260,1108,966,833,711,598,494,401,317,243,178,124,79,43,18,3
103.5,7935,7545,7164,6793,6431,6080,5739,5407,5085,4773,4471,4179,3897,3625,3362,3109,2866,2633,2410,2197,1994,1800,1616,1442,1278,1124,980,846,721,606,502,407,322,246,181,125,80,44,18,3
105,8050,7654,7267,6891,6525,6168,5822,5485,5159,4843,4536,4240,3953,3677,3411,3154,2908,2672,2445,2229,2022,1826,1640,1463,1297,1141,994,858,732,615,509,413,326,250,184,127,81,45,18,3
106.5,8165,7763,7371,6990,6618,6256,5905,5564,5233,4912,4601,4300,4010,3730,3459,3199,2949,2710,2480,2261,2051,1852,1663,1484,1316,1157,1008,870,742,624,516,418,331,253,186,129,82,45,19,3
108,8280,7873,7475,7088,6711,6344,5988,5642,5306,4981,4666,4361,4066,3782,3508,3244,2991,2748,2515,2292,2080,1878,1687,1505,1334,1173,1023,882,752,633,523,424,336,257,189,131,83,46,19,3
109.5,8395,7982,7579,7186,6804,6433,6071,5721,5380,5050,4731,4422,4123,3835,3557,3289,3033,2786,2550,2324,2109,1904,1710,1526,1353,1190,1037,895,763,642,531,430,340,261,191,133,84,47,19,3
111,8510,8091,7683,7285,6897,6521,6155,5799,5454,5119,4795,4482,4179,3887,3606,3335,3074,2824,2585,2356,2138,1930,1733,1547,1371,1206,1051,907,773,650,538,436,345,264,194,135,86,47,19,3
112.5,8625,8201,7787,7383,6991,6609,6238,5877,5528,5189,4860,4543,4236,3940,3654,3380,3116,2862,2620,2388,2167,1956,1757,1568,1390,1222,1065,919,784,659,545,442,350,268,197,136,87,48,20,3
114,8740,8310,7890,7482,7084,6697,6321,5956,5601,5258,4925,4603,4292,3992,3703,3425,3157,2901,2655,2420,2196,1983,1780,1589,1408,1238,1079,931,794,668,553,448,354,271,199,138,88,48,20,3
115.5,8855,8419,7994,7580,7177,6785,6404,6034,5675,5327,4990,4664,4349,4045,3752,3470,3199,2939,2690,2452,2225,2009,1804,1610,1427,1255,1094,944,805,677,560,454,359,275,202,140,89,49,20,3
117,8970,8529,8098,7679,7270,6873,6487,6112,5749,5396,5055,4724,4405,4097,3800,3515,3240,2977,2725,2484,2254,2035,1827,1631,1445,1271,1108,956,815,686,567,460,364,278,205,142,90,50,20,3
118.5,9085,8638,8202,7777,7364,6961,6570,6191,5822,5465,5119,4785,4462,4150,3849,3560,3282,3015,2760,2515,2282,2061,1851,1651,1464,1287,1122,968,826,694,574,466,368,282,207,144,91,50,21,3
120,9200,8747,8306,7876,7457,7049,6654,6269,5896,5534,5184,4846,4518,4202,3898,3605,3323,3053,2794,2547,2311,2087,1874,1672,1482,1304,1136,980,836,703,582,471,373,286,210,145,92,51,21,3
121.5,9315,8857,8410,7974,7550,7138,6737,6347,5970,5604,5249,4906,4575,4255,3947,3650,3365,3091,2829,2579,2340,2113,1897,1693,1501,1320,1151,993,847,712,589,477,377,289,212,147,94,52,21,3
123,9430,8966,8513,8072,7643,7226,6820,6426,6043,5673,5314,4967,4631,4307,3995,3695,3406,3130,2864,2611,2369,2139,1921,1714,1519,1336,1165,1005,857,721,596,483,382,293,215,149,95,52,22,3
124.5,9545,9075,8617,8171,7736,7314,6903,6504,6117,5742,5379,5027,4688,4360,4044,3740,3448,3168,2899,2643,2398,2165,1944,1735,1538,1352,1179,1017,867,729,603,489,387,296,218,151,96,53,22,3
126,9660,9185,8721,8269,7830,7402,6986,6583,6191,5811,5443,5088,4744,4412,4093,3785,3489,3206,2934,2675,2427,2191,1968,1756,1556,1369,1193,1030,878,738,611,495,391,300,220,153,97,54,22,3
127.5,9775,9294,8825,8368,7923,7490,7069,6661,6265,5880,5508,5148,4801,4465,4142,3830,3531,3244,2969,2706,2456,2217,1991,1777,1575,1385,1207,1042,888,747,618,501,396,303,223,155,98,54,22,3
129,9890,9403,8929,8466,8016,7578,7153,6739,6338,5950,5573,5209,4857,4518,4190,3875,3573,3282,3004,2738,2485,2243,2014,1798,1593,1401,1222,1054,899,756,625,507,401,307,226,156,99,55,23,3
130.5,10005,9513,9032,8565,8109,7666,7236,6818,6412,6019,5638,5270,4914,4570,4239,3920,3614,3320,3039,2770,2514,2270,2038,1819,1612,1418,1236,1066,909,765,632,513,405,311,228,158,101,55,23,3
132,10120,9622,9136,8663,8202,7754,7319,6896,6486,6088,5703,5330,4970,4623,4288,3965,3656,3359,3074,2802,2542,2296,2061,1840,1630,1434,1250,1079,920,773,640,519,410,314,231,160,102,56,23,3
133.5,10235,9731,9240,8761,8296,7842,7402,6974,6559,6157,5767,5391,5027,4675,4336,4010,3697,3397,3109,2834,2571,2322,2085,1861,1649,1450,1264,1091,930,782,647,525,415,318,233,162,103,57,23,3
135,10350,9841,9344,8860,8389,7931,7485,7053,6633,6226,5832,5451,5083,4728,4385,4056,3739,3435,3144,2866,2600,2348,2108,1881,1668,1467,1278,1103,941,791,654,530,419,321,236,164,104,57,24,3
136.5,10465,9950,9448,8958,8482,8019,7568,7131,6707,6295,5897,5512,5139,4780,4434,4101,3780,3473,3179,2897,2629,2374,2132,1902,1686,1483,1293,1115,951,800,662,536,424,325,239,165,105,58,24,3
138,10580,10059,9552,9057,8575,8107,7652,7209,6780,6365,5962,5572,5196,4833,4483,4146,3822,3511,3214,2929,2658,2400,2155,1923,1705,1499,1307,1128,961,809,669,542,429,328,241,167,106,59,24,3
139.5,10695,10169,9655,9155,8668,8195,7735,7288,6854,6434,6027,5633,5252,4885,4531,4191,3863,3549,3249,2961,2687,2426,2178,1944,1723,1515,1321,1140,972,817,676,548,433,332,244,169,108,59,24,3
141,10810,10278,9759,9254,8762,8283,7818,7366,6928,6503,6092,5694,5309,4938,4580,4236,3905,3587,3284,2993,2716,2452,2202,1965,1742,1532,1335,1152,982,826,683,554,438,336,246,171,109,60,25,4
142.5,10925,10387,9863,9352,8855,8371,7901,7445,7002,6572,6156,5754,5365,4990,4629,4281,3946,3626,3318,3025,2745,2478,2225,1986,1760,1548,1349,1164,993,835,691,560,443,339,249,173,110,61,25,4
144,11040,10497,9967,9451,8948,8459,7984,7523,7075,6641,6221,5815,5422,5043,4678,4326,3988,3664,3353,3057,2774,2504,2249,2007,1779,1564,1364,1177,1003,844,698,566,447,343,252,174,111,61,25,4
145.5,11155,10606,10071,9549,9041,8547,8067,7601,7149,6711,6286,5875,5478,5095,4726,4371,4030,3702,3388,3088,2803,2530,2272,2028,1797,1581,1378,1189,1014,853,705,572,452,346,254,176,112,62,25,4
147,11270,10715,10174,9647,9135,8636,8151,7680,7223,6780,6351,5936,5535,5148,4775,4416,4071,3740,3423,3120,2831,2556,2296,2049,1816,1597,1392,1201,1024,861,712,578,457,350,257,178,113,62,26,4
148.5,11385,10825,10278,9746,9228,8724,8234,7758,7296,6849,6416,5996,5591,5200,4824,4461,4113,3778,3458,3152,2860,2583,2319,2070,1834,1613,1406,1213,1035,870,720,583,461,353,260,180,114,63,26,4
150,11500,10934,10382,9844,9321,8812,8317,7836,7370,6918,6480,6057,5648,5253,4872,4506,4154,3816,3493,3184,2889,2609,2342,2090,1853,1629,1420,1226,1045,879,727,589,466,357,262,182,116,64,26,4
151.5,11615,11043,10486,9943,9414,8900,8400,7915,7444,6987,6545,6117,5704,5305,4921,4551,4196,3855,3528,3216,2918,2635,2366,2111,1871,1646,1435,1238,1056,888,734,595,471,361,265,184,117,64,27,4
153,11730,11153,10590,10041,9507,8988,8483,7993,7517,7056,6610,6178,5761,5358,4970,4596,4237,3893,3563,3248,2947,2661,2389,2132,1890,1662,1449,1250,1066,896,742,601,475,364,267,185,118,65,27,4
154.5,11845,11262,10694,10140,9601,9076,8566,8071,7591,7126,6675,6239,5817,5411,5019,4641,4279,3931,3598,3280,2976,2687,2413,2153,1908,1678,1463,1262,1076,905,749,607,480,368,270,187,119,66,27,4
156,11960,11372,10797,10238,9694,9164,8650,8150,7665,7195,6740,6299,5874,5463,5067,4686,4320,3969,3633,3311,3005,2713,2436,2174,1927,1695,1477,1275,1087,914,756,613,485,371,273,189,120,66,27,4
157.5,12075,11481,10901,10337,9787,9252,8733,8228,7739,7264,6804,6360,5930,5516,5116,4731,4362,4007,3668,3343,3034,2739,2460,2195,1945,1711,1491,1287,1097,923,763,619,489,375,275,191,121,67,28,4
159,12190,11590,11005,10435,9880,9340,8816,8307,7812,7333,6869,6420,5987,5568,5165,4777,4403,4045,3703,3375,3063,2765,2483,2216,1964,1727,1506,1299,1108,932,771,625,494,378,278,193,123,68,28,4
160.5,12305,11700,11109,10533,9973,9429,8899,8385,7886,7402,6934,6481,6043,5621,5213,4822,4445,4084,3738,3407,3091,2791,2506,2237,1983,1744,1520,1311,1118,940,778,631,499,382,281,194,124,68,28,4
162,12420,11809,11213,10632,10067,9517,8982,8463,7960,7471,6999,6541,6100,5673,5262,4867,4486,4122,3773,3439,3120,2817,2530,2258,2001,1760,1534,1324,1129,949,785,637,503,386,283,196,125,69,28,4
163.5,12536,11918,11317,10730,10160,9605,9065,8542,8033,7541,7064,6602,6156,5726,5311,4912,4528,4160,3807,3471,3149,2843,2553,2279,2020,1776,1548,1336,1139,958,792,642,508,389,286,198,126,69,29,4
165,12651,12028,11420,10829,10253,9693,9149,8620,8107,7610,7128,6663,6213,5778,5360,4957,4570,4198,3842,3502,3178,2870,2577,2300,2038,1792,1562,1348,1150,967,800,648,513,393,288,200,127,70,29,4
166.5,12766,12137,11524,10927,10346,9781,9232,8698,8181,7679,7193,6723,6269,5831,5408,5002,4611,4236,3877,3534,3207,2896,2600,2320,2057,1809,1577,1360,1160,976,807,654,517,396,291,202,128,71,29,4
168,12881,12246,11628,11026,10439,9869,9315,8777,8254,7748,7258,6784,6326,5883,5457,5047,4653,4274,3912,3566,3236,2922,2624,2341,2075,1825,1591,1373,1171,984,814,660,522,400,294,204,129,71,29,4
169.5,12996,12356,11732,11124,10533,9957,9398,8855,8328,7817,7323,6844,6382,5936,5506,5092,4694,4313,3947,3598,3265,2948,2647,2362,2094,1841,1605,1385,1181,993,821,666,527,403,296,205,131,72,30,4
171,13111,12465,11836,11223,10626,10045,9481,8933,8402,7887,7388,6905,6438,5988,5555,5137,4736,4351,3982,3630,3294,2974,2670,2383,2112,1858,1619,1397,1191,1002,829,672,531,407,299,207,132,73,30,4
172.5,13226,12574,11939,11321,10719,10134,9564,9012,8476,7956,7452,6965,6495,6041,5603,5182,4777,4389,4017,3662,3323,3000,2694,2404,2131,1874,1633,1409,1202,1011,836,678,536,411,302,209,133,73,30,4
174,13341,12684,12043,11419,10812,10222,9648,9090,8549,8025,7517,7026,6551,6093,5652,5227,4819,4427,4052,3693,3351,3026,2717,2425,2149,1890,1648,1422,1212,1020,843,684,541,414,304,211,134,74,30,4
175.5,13456,12793,12147,11518,10905,10310,9731,9169,8623,8094,7582,7087,6608,6146,5701,5272,4860,4465,4087,3725,3380,3052,2741,2446,2168,1906,1662,1434,1223,1028,851,690,545,418,307,213,135,75,31,4
177,13571,12902,12251,11616,10999,10398,9814,9247,8697,8163,7647,7147,6664,6198,5749,5317,4902,4503,4122,3757,3409,3078,2764,2467,2186,1923,1676,1446,1233,1037,858,695,550,421,309,214,136,75,31,4
178.5,13686,13012,12355,11715,11092,10486,9897,9325,8770,8232,7712,7208,6721,6251,5798,5362,4943,4542,4157,3789,3438,3104,2787,2488,2205,1939,1690,1458,1244,1046,865,701,555,425,312,216,138,76,31,4
180,13801,13121,12459,11813,11185,10574,9980,9404,8844,8302,7776,7268,6777,6304,5847,5407,4985,4580,4192,3821,3467,3130,2811,2509,2223,1955,1704,1471,1254,1055,872,707,559,428,315,218,139,77,32,5
181.5,13916,13230,12562,11912,11278,10662,10063,9482,8918,8371,7841,7329,6834,6356,5896,5452,5027,4618,4227,3853,3496,3156,2834,2529,2242,1972,1719,1483,1265,1063,880,713,564,432,317,220,140,77,32,5
183,14031,13340,12666,12010,11372,10750,10147,9560,8991,8440,7906,7389,6890,6409,5944,5497,5068,4656,4262,3884,3525,3183,2858,2550,2260,1988,1733,1495,1275,1072,887,719,569,436,320,222,141,78,32,5
184.5,14146,13449,12770,12109,11465,10838,10230,9639,9065,8509,7971,7450,6947,6461,5993,5543,5110,4694,4297,3916,3554,3209,2881,2571,2279,2004,1747,1507,1285,1081,894,725,573,439,323,224,142,78,32,5
186,14261,13558,12874,12207,11558,10927,10313,9717,9139,8578,8036,7511,7003,6514,6042,5588,5151,4732,4331,3948,3583,3235,2905,2592,2298,2021,1761,1520,1296,1090,901,731,578,443,325,225,143,79,33,5
187.5,14376,13668,12978,12305,11651,11015,10396,9795,9213,8648,8100,7571,7060,6566,6090,5633,5193,4771,4366,3980,3611,3261,2928,2613,2316,2037,1775,1532,1306,1099,909,737,583,446,328,227,145,80,33,5
189,14491,13777,13081,12404,11744,11103,10479,9874,9286,8717,8165,7632,7116,6619,6139,5678,5234,4809,4401,4012,3640,3287,2951,2634,2335,2053,1790,1544,1317,1107,916,743,587,450,330,229,146,80,33,5
190.5,14606,13886,13185,12502,11838,11191,10562,9952,9360,8786,8230,7692,7173,6671,6188,5723,5276,4847,4436,4044,3669,3313,2975,2655,2353,2069,1804,1557,1327,1116,923,748,592,453,333,231,147,81,33,5
192,14721,13996,13289,12601,11931,11279,10646,10031,9434,8855,8295,7753,7229,6724,6237,5768,5317,4885,4471,4076,3698,3339,2998,2676,2372,2086,1818,1569,1338,1125,931,754,597,457,336,233,148,82,34,5
193.5,14836,14105,13393,12699,12024,11367,10729,10109,9507,8924,8360,7813,7286,6776,6285,5813,5359,4923,4506,4107,3727,3365,3022,2697,2390,2102,1832,1581,1348,1134,938,760,601,461,338,234,149,82,34,5
195,14951,14214,13497,12798,12117,11455,10812,10187,9581,8993,8424,7874,7342,6829,6334,5858,5400,4961,4541,4139,3756,3391,3045,2718,2409,2118,1847,1593,1359,1143,945,766,606,464,341,236,150,83,34,5
